date,branch,revenue,transactions,complaints,atm_uptime_percent,staff_count,fraud_flags,revenue_change_pct,alert_summary
2024-01-01,Branch_1,61393.08,1726,20,99.04,29,0,-27.33,Significant revenue drop
2024-01-08,Branch_1,146481.13,4439,46,95.22,35,0,138.6,Spike in customer complaints
2024-01-15,Branch_1,76757.81,2017,18,95.97,45,0,-47.6,Significant revenue drop
2024-01-22,Branch_1,114653.19,4612,4,91.55,18,0,49.37,ATM downtime increased
2024-01-29,Branch_1,140563.26,4735,1,97.86,31,0,22.6,No significant issues
2024-02-05,Branch_1,108158.61,4541,34,95.34,21,0,-23.05,Significant revenue drop; Spike in customer complaints
2024-02-12,Branch_1,58321.37,1439,44,98.85,20,0,-46.08,Significant revenue drop; Spike in customer complaints
2024-02-19,Branch_1,96855.42,4009,29,92.94,28,0,66.07,No significant issues
2024-02-26,Branch_1,56990.66,3789,41,96.74,21,1,-41.16,Significant revenue drop; Spike in customer complaints; Potential fraud detected
2024-03-04,Branch_1,62502.61,4035,30,96.75,38,1,9.67,Potential fraud detected
2024-03-11,Branch_1,100957.34,2688,5,97.18,45,0,61.52,No significant issues
2024-03-18,Branch_1,99393.54,1755,23,92.11,44,0,-1.55,No significant issues
2024-03-25,Branch_1,143522.82,2337,14,96.7,33,0,44.4,No significant issues
2024-04-01,Branch_1,97881.56,3777,16,91.53,44,1,-31.8,Significant revenue drop; ATM downtime increased; Potential fraud detected
2024-04-08,Branch_1,134477.05,2710,23,93.07,13,0,37.39,No significant issues
2024-04-15,Branch_1,106980.36,4232,3,98.67,12,0,-20.45,Significant revenue drop
2024-04-22,Branch_1,108865.51,3903,28,93.64,23,0,1.76,No significant issues
2024-04-29,Branch_1,84290.97,4599,23,99.7,12,1,-22.57,Significant revenue drop; Potential fraud detected
2024-05-06,Branch_1,141626.45,2711,38,94.99,46,0,68.02,Spike in customer complaints
2024-05-13,Branch_1,104655.22,1184,45,98.29,20,0,-26.1,Significant revenue drop; Spike in customer complaints
2024-05-20,Branch_1,137291.97,1498,40,91.24,20,1,31.19,Spike in customer complaints; ATM downtime increased; Potential fraud detected
2024-05-27,Branch_1,51484.06,1661,24,95.8,43,0,-62.5,Significant revenue drop
2024-06-03,Branch_1,54888.98,1659,20,96.88,17,0,6.61,No significant issues
2024-06-10,Branch_1,106968.63,2615,4,92.06,47,0,94.88,No significant issues
2024-06-17,Branch_1,57566.97,1932,41,99.34,40,0,-46.18,Significant revenue drop; Spike in customer complaints
2024-06-24,Branch_1,143583.24,1408,11,94.44,41,0,149.42,No significant issues
2024-07-01,Branch_1,57913.35,2337,26,89.73,16,1,-59.67,Significant revenue drop; ATM downtime increased; Potential fraud detected
2024-07-08,Branch_1,142605.97,3885,8,91.39,20,0,146.24,ATM downtime increased
2024-07-15,Branch_1,91945.22,1803,20,90.41,31,0,-35.52,Significant revenue drop; ATM downtime increased
2024-07-22,Branch_1,83625.11,1526,50,92.07,42,0,-9.05,Spike in customer complaints
2024-07-29,Branch_1,141407.38,1724,24,93.57,41,0,69.1,No significant issues
2024-08-05,Branch_1,119561.34,2331,21,97.54,16,0,-15.45,No significant issues
2024-08-12,Branch_1,149314.55,4502,49,90.83,46,1,24.89,Spike in customer complaints; ATM downtime increased; Potential fraud detected
2024-08-19,Branch_1,94463.84,1306,30,90.63,12,0,-36.74,Significant revenue drop; ATM downtime increased
2024-08-26,Branch_1,146953.87,1216,31,92.89,14,0,55.57,Spike in customer complaints
2024-09-02,Branch_1,120470.27,2703,4,98.13,29,0,-18.02,No significant issues
2024-09-09,Branch_1,90361.07,4235,21,89.19,11,0,-24.99,Significant revenue drop; ATM downtime increased
2024-09-16,Branch_1,52103.39,4199,21,98.47,24,0,-42.34,Significant revenue drop
2024-09-23,Branch_1,52042.18,3678,39,97.99,50,0,-0.12,Spike in customer complaints
2024-09-30,Branch_1,97394.21,1189,15,99.48,42,0,87.14,No significant issues
2024-10-07,Branch_1,82659.05,4782,6,94.22,24,0,-15.13,No significant issues
2024-10-14,Branch_1,126069.85,2919,28,95.37,20,0,52.52,No significant issues
2024-10-21,Branch_1,115790.34,2791,7,92.92,35,0,-8.15,No significant issues
2024-10-28,Branch_1,117596.87,3429,29,97.06,50,0,1.56,No significant issues
2024-11-04,Branch_1,122901.52,2456,16,90.65,14,0,4.51,ATM downtime increased
2024-11-11,Branch_1,140609.46,1595,31,95.17,11,0,14.41,Spike in customer complaints
2024-11-18,Branch_1,66575.62,1857,7,95.24,38,0,-52.65,Significant revenue drop
